PID,group,id_in_group,role,payoff,participant_label,initialized_round,time_start_round,assigned_seed,seed,round_time_left,round_timed_out,waited_n_refresh,topic_number,interacted_topics,positioning_user,time_positioning,partition_user,I_understand,time_taskexplaination,tmp_ranking,click_rank,click_id,positioning_true,time_rankig,highlight,read_more_highlight,time_highlight,positioning_text,read_more_positioning,time_positioning_text,group.id_in_subsession,turn,leaning,leaning_strength,center_strength,age,gender,gender_open,comment
P11,1,11,,0.0,214475.0,1.0,1755616995.69,1.0,133.0,738.0,0.0,0.0,3.0,3.0,-2.0,22.65,-1.0,1.0,17.27,4039527681.0,7.0,36.0,1.0,60.31,3.0,1.0,63.9,1.0,1.0,29.46,1,1,,,,,,,
P12,1,12,,0.0,438233.0,1.0,1755616997.14,1.0,211.0,718.0,0.0,0.0,1.0,1.0,2.0,10.69,1.0,1.0,10.73,3798164250.0,1.0,17.0,1.0,48.59,3.0,1.0,114.53,-1.0,0.0,19.42,1,1,,,,,,,
P13,1,13,,0.0,255522.0,1.0,1755617023.68,1.0,214.0,456.0,0.0,0.0,4.0,4.0,1.0,43.12,1.0,1.0,36.49,8372495061.0,2.0,47.0,1.0,31.98,1.0,1.0,334.92,0.0,0.0,19.99,1,1,,,,,,,
P14,1,14,,0.0,274504.0,1.0,1755617023.77,1.0,212.0,779.0,0.0,0.0,2.0,2.0,-2.0,21.87,-1.0,1.0,17.85,3250476189.0,0.0,23.0,-1.0,33.42,3.0,0.0,50.58,-1.0,1.0,76.53,1,1,,,,,,,
P15,1,15,,0.0,228641.0,1.0,1755617033.9,1.0,111.0,605.0,0.0,0.0,1.0,1.0,2.0,25.06,1.0,1.0,25.18,4365871209.0,3.0,15.0,0.0,54.15,3.0,1.0,191.34,-1.0,0.0,16.9,1,1,,,,,,,
P16,1,16,,0.0,127938.0,1.0,1755617054.6,1.0,132.0,743.0,0.0,0.0,2.0,2.0,1.0,17.7,1.0,1.0,23.6,4527109863.0,1.0,25.0,0.0,60.75,3.0,0.0,57.19,-1.0,0.0,13.79,1,1,,,,,,,
P17,1,17,,0.0,272406.0,1.0,1755617342.0,1.0,111.0,699.0,0.0,0.0,1.0,1.0,2.0,37.58,1.0,1.0,25.62,4365871209.0,0.0,14.0,0.0,47.92,3.0,1.0,92.87,-2.0,0.0,10.21,1,1,,,,,,,
P18,1,18,,0.0,264865.0,1.0,1755617383.35,1.0,133.0,718.0,0.0,0.0,3.0,3.0,-1.0,110.65,-1.0,1.0,33.54,4053962781.0,3.0,33.0,-1.0,22.47,3.0,1.0,17.16,0.0,1.0,45.07,1,1,,,,,,,
P19,1,19,,0.0,112646.0,1.0,1755617412.68,1.0,232.0,740.0,0.0,0.0,2.0,2.0,-2.0,43.63,-1.0,1.0,1.99,2051439678.0,0.0,22.0,-1.0,32.78,1.0,1.0,84.14,0.0,1.0,11.43,1,1,,,,,,,
P20,1,20,,0.0,951362.0,1.0,1755617440.54,1.0,223.0,868.0,0.0,0.0,3.0,3.0,0.0,4.6,0.0,1.0,2.37,4053986127.0,8.0,32.0,-1.0,16.36,0.0,0.0,10.11,2.0,0.0,36.34,1,1,,,,,,,
P21,1,21,,0.0,397246.0,1.0,1755617486.27,1.0,123.0,694.0,0.0,0.0,3.0,3.0,-1.0,24.11,-1.0,1.0,20.14,435796218.0,0.0,30.0,-2.0,46.14,0.0,1.0,116.01,-2.0,0.0,6.77,1,1,,,,,,,
P22,1,22,,0.0,785248.0,1.0,1755617526.31,1.0,124.0,846.0,0.0,0.0,4.0,4.0,-2.0,14.57,-1.0,1.0,9.41,2143685709.0,0.0,42.0,-1.0,2.6,3.0,1.0,29.94,-1.0,1.0,38.81,1,1,,,,,,,
P23,1,23,,0.0,406615.0,1.0,1755617601.35,1.0,222.0,775.0,0.0,0.0,2.0,2.0,-2.0,14.82,-1.0,1.0,19.55,2134058967.0,8.0,26.0,1.0,48.01,3.0,0.0,44.99,2.0,0.0,18.11,1,1,,,,,,,
P24,1,24,,0.0,240308.0,1.0,1755617650.12,1.0,233.0,827.0,0.0,0.0,3.0,3.0,-1.0,10.09,-1.0,1.0,5.32,541283679.0,1.0,35.0,0.0,38.93,3.0,1.0,20.56,-1.0,0.0,6.17,1,1,,,,,,,
P25,1,25,,0.0,656993.0,1.0,1755617733.08,1.0,112.0,636.0,0.0,0.0,2.0,2.0,-2.0,29.61,-1.0,1.0,13.66,4256793801.0,6.0,23.0,-1.0,55.41,0.0,1.0,167.82,-1.0,0.0,11.39,1,1,,,,,,,
P26,1,26,,0.0,860403.0,1.0,1755617761.39,1.0,234.0,788.0,0.0,0.0,4.0,4.0,-2.0,15.72,-1.0,1.0,18.51,1235407698.0,5.0,40.0,-2.0,42.57,0.0,0.0,37.22,-2.0,0.0,9.32,1,1,,,,,,,
P27,1,27,,0.0,114005.0,1.0,1755617784.09,1.0,233.0,798.0,0.0,0.0,3.0,3.0,1.0,28.0,1.0,1.0,18.14,9670832541.0,5.0,33.0,-1.0,33.46,3.0,0.0,23.08,1.0,0.0,33.64,1,1,,,,,,,
P28,1,28,,0.0,524599.0,1.0,1755617851.32,1.0,211.0,851.0,0.0,0.0,1.0,1.0,-2.0,14.66,-1.0,1.0,5.11,6302415789.0,5.0,11.0,-2.0,19.55,3.0,0.0,11.02,0.0,0.0,17.34,1,1,,,,,,,
P29,1,29,,0.0,881882.0,1.0,1755617857.9,1.0,213.0,757.0,0.0,0.0,3.0,3.0,0.0,16.94,0.0,1.0,1.49,247936815.0,2.0,34.0,0.0,81.96,3.0,1.0,45.11,1.0,1.0,39.92,1,1,,,,,,,
P30,1,30,,0.0,233320.0,1.0,1755617874.18,1.0,221.0,764.0,0.0,0.0,1.0,1.0,-1.0,22.35,-1.0,1.0,22.37,6534201789.0,0.0,16.0,1.0,21.78,3.0,0.0,71.71,0.0,0.0,64.19,1,1,,,,,,,
P31,1,31,,0.0,953131.0,1.0,1755617892.38,1.0,134.0,736.0,0.0,0.0,4.0,4.0,-2.0,15.57,-1.0,1.0,17.19,1452708369.0,2.0,45.0,0.0,30.42,0.0,1.0,102.63,0.0,0.0,6.79,1,1,,,,,,,
P32,1,32,,0.0,164071.0,1.0,1755617996.71,1.0,232.0,511.0,0.0,0.0,2.0,2.0,-2.0,130.73,-1.0,1.0,36.41,2051439678.0,4.0,24.0,0.0,54.07,2.0,1.0,169.02,-2.0,1.0,66.17,1,1,,,,,,,
P33,1,33,,0.0,198306.0,1.0,1755618062.03,1.0,234.0,786.0,0.0,0.0,4.0,4.0,-2.0,8.68,-1.0,1.0,10.05,1235407698.0,9.0,48.0,2.0,23.76,3.0,1.0,73.93,2.0,1.0,12.28,1,1,,,,,,,
P34,1,34,,0.0,962073.0,1.0,1755618084.21,1.0,131.0,819.0,0.0,0.0,1.0,1.0,0.0,9.88,0.0,1.0,5.95,4153728096.0,4.0,17.0,1.0,16.27,3.0,1.0,51.35,-1.0,1.0,13.48,1,1,,,,,,,
P35,1,35,,0.0,149235.0,1.0,1755618127.46,1.0,224.0,642.0,0.0,0.0,4.0,4.0,-1.0,27.8,-1.0,1.0,23.99,1203546798.0,3.0,43.0,-1.0,47.8,3.0,1.0,161.85,0.0,0.0,22.59,1,1,,,,,,,
P36,1,36,,0.0,305853.0,1.0,1755618169.27,1.0,211.0,427.0,0.0,0.0,1.0,1.0,2.0,34.69,1.0,1.0,32.56,3798164250.0,8.0,15.0,0.0,62.24,3.0,1.0,345.46,-1.0,0.0,20.35,1,1,,,,,,,
P37,1,37,,0.0,770904.0,1.0,1755618197.03,1.0,233.0,703.0,0.0,0.0,3.0,3.0,2.0,99.64,1.0,1.0,12.49,9670832541.0,8.0,34.0,0.0,32.16,2.0,1.0,54.34,0.0,1.0,30.02,1,1,,,,,,,
P38,1,38,,0.0,417383.0,1.0,1755618273.23,1.0,223.0,756.0,0.0,0.0,3.0,3.0,-1.0,13.28,-1.0,1.0,8.72,432596817.0,8.0,31.0,-2.0,85.86,2.0,1.0,38.55,-1.0,1.0,21.05,1,1,,,,,,,
P39,1,39,,0.0,271704.0,1.0,1755618295.72,1.0,124.0,618.0,0.0,0.0,4.0,4.0,-2.0,48.64,-1.0,1.0,13.07,2143685709.0,2.0,44.0,0.0,59.9,0.0,1.0,162.32,0.0,0.0,11.76,1,1,,,,,,,
P40,1,40,,0.0,920641.0,1.0,1755618334.72,1.0,112.0,852.0,0.0,0.0,2.0,2.0,-2.0,7.76,-1.0,1.0,5.16,4257693801.0,1.0,22.0,-1.0,21.51,3.0,0.0,15.48,-1.0,0.0,17.46,1,1,,,,,,,
P41,1,41,,0.0,218037.0,1.0,1755618337.6,1.0,111.0,831.0,0.0,0.0,1.0,1.0,1.0,28.86,1.0,1.0,4.76,4365817209.0,0.0,14.0,0.0,32.79,3.0,0.0,5.76,1.0,0.0,4.35,1,1,,,,,,,
P42,1,42,,0.0,828554.0,1.0,1755618356.5,1.0,231.0,511.0,0.0,0.0,1.0,1.0,1.0,56.8,1.0,1.0,70.45,8473295061.0,9.0,11.0,-2.0,90.64,3.0,1.0,173.72,0.0,0.0,23.32,1,1,,,,,,,
P43,1,43,,0.0,644499.0,1.0,1755618400.28,1.0,232.0,681.0,0.0,0.0,2.0,2.0,-2.0,152.96,-1.0,1.0,39.91,2054139678.0,3.0,24.0,0.0,15.63,3.0,0.0,13.38,0.0,0.0,8.82,1,1,,,,,,,
P44,1,44,,0.0,414673.0,1.0,1755618423.75,1.0,213.0,826.0,0.0,0.0,3.0,3.0,2.0,8.05,1.0,1.0,10.9,6948370521.0,3.0,38.0,2.0,16.86,3.0,1.0,40.14,0.0,0.0,5.8,1,1,,,,,,,
P45,1,45,,0.0,303537.0,1.0,1755618643.0,1.0,232.0,749.0,0.0,0.0,2.0,2.0,0.0,14.47,0.0,1.0,14.5,5472136098.0,1.0,24.0,0.0,35.01,3.0,1.0,88.94,0.0,1.0,11.83,1,1,,,,,,,
P46,1,46,,0.0,336966.0,1.0,1755618657.33,1.0,223.0,714.0,0.0,0.0,3.0,3.0,-1.0,19.69,-1.0,1.0,41.59,432596817.0,6.0,36.0,1.0,23.89,3.0,0.0,103.52,1.0,1.0,92.84,1,1,,,,,,,
P47,1,47,,0.0,532363.0,1.0,1755618690.98,1.0,122.0,522.0,0.0,0.0,2.0,2.0,0.0,332.49,0.0,1.0,5.08,5241980736.0,0.0,25.0,0.0,1.7,3.0,1.0,40.49,-1.0,1.0,360.57,1,1,,,,,,,
P48,1,48,,0.0,583420.0,1.0,1755618768.92,1.0,231.0,810.0,0.0,0.0,1.0,1.0,-1.0,28.33,-1.0,1.0,17.97,4235017869.0,7.0,18.0,2.0,21.4,3.0,0.0,24.57,-2.0,0.0,20.08,1,1,,,,,,,
P49,1,49,,0.0,193084.0,1.0,1755618822.78,1.0,232.0,759.0,0.0,0.0,2.0,2.0,-1.0,25.47,-1.0,1.0,13.24,2054139678.0,0.0,22.0,-1.0,35.66,3.0,1.0,68.91,-1.0,0.0,7.33,1,1,,,,,,,
P50,1,50,,0.0,754163.0,1.0,1755618926.1,1.0,211.0,781.0,0.0,0.0,1.0,1.0,-2.0,54.48,-1.0,1.0,23.03,6302415789.0,1.0,13.0,-1.0,8.62,2.0,1.0,34.43,-2.0,1.0,17.72,1,1,,,,,,,
P51,1,51,,0.0,513903.0,1.0,1755619082.05,1.0,223.0,739.0,0.0,0.0,3.0,3.0,-1.0,20.87,-1.0,1.0,21.23,432569817.0,9.0,37.0,1.0,24.35,3.0,0.0,96.61,1.0,1.0,23.0,1,1,,,,,,,
P52,1,52,,0.0,963297.0,1.0,1755619144.83,1.0,122.0,542.0,0.0,0.0,2.0,2.0,-2.0,264.19,-1.0,1.0,62.29,5241980736.0,1.0,22.0,-1.0,10.16,3.0,1.0,22.77,-1.0,0.0,69.74,1,1,,,,,,,
P53,1,53,,0.0,281479.0,1.0,1755619172.22,1.0,121.0,595.0,0.0,0.0,1.0,1.0,-1.0,104.6,-1.0,1.0,91.87,5430671298.0,7.0,12.0,-1.0,45.54,2.0,0.0,65.87,-1.0,0.0,30.68,1,1,,,,,,,
P54,1,54,,0.0,881172.0,1.0,1755619180.09,1.0,211.0,852.0,0.0,0.0,1.0,1.0,-2.0,4.92,-1.0,1.0,16.38,6302415789.0,2.0,10.0,-2.0,14.81,2.0,0.0,14.38,-1.0,0.0,6.85,1,1,,,,,,,
P55,1,55,,0.0,493552.0,1.0,1755619352.98,1.0,213.0,820.0,0.0,0.0,3.0,3.0,2.0,23.61,1.0,1.0,20.06,6948370521.0,1.0,39.0,2.0,22.87,2.0,0.0,15.04,2.0,0.0,14.34,1,1,,,,,,,
P56,1,56,,0.0,128660.0,1.0,1755619360.5,1.0,231.0,691.0,0.0,0.0,1.0,1.0,2.0,37.07,1.0,1.0,41.4,8473295061.0,3.0,13.0,-1.0,61.48,3.0,1.0,70.11,-2.0,0.0,13.8,1,1,,,,,,,
P57,1,57,,0.0,737338.0,1.0,1755619366.36,1.0,111.0,894.0,0.0,0.0,1.0,1.0,1.0,2.05,1.0,1.0,1.75,4365871209.0,1.0,13.0,-1.0,1.69,0.0,1.0,2.68,2.0,0.0,11.51,1,1,,,,,,,
P58,1,58,,0.0,625521.0,1.0,1755619376.11,1.0,221.0,652.0,0.0,0.0,1.0,1.0,2.0,27.54,1.0,1.0,23.65,4867193052.0,5.0,19.0,2.0,38.53,1.0,1.0,160.67,2.0,1.0,11.47,1,1,,,,,,,
P59,1,59,,0.0,164673.0,1.0,1755619489.37,1.0,132.0,511.0,0.0,0.0,2.0,2.0,-1.0,46.13,-1.0,1.0,54.18,4527109836.0,3.0,27.0,1.0,4.86,3.0,1.0,285.33,2.0,0.0,29.51,1,1,,,,,,,
P60,1,60,,0.0,263696.0,1.0,1755619566.56,1.0,224.0,422.0,0.0,0.0,4.0,4.0,1.0,73.04,1.0,1.0,96.96,8671549203.0,0.0,48.0,2.0,129.94,0.0,1.0,180.74,2.0,1.0,34.63,1,1,,,,,,,
P61,1,61,,0.0,722469.0,1.0,1755619571.4,1.0,122.0,727.0,0.0,0.0,2.0,2.0,1.0,29.57,1.0,1.0,23.6,5241980736.0,2.0,24.0,0.0,58.69,3.0,1.0,63.44,0.0,1.0,45.73,1,1,,,,,,,
P62,1,62,,0.0,474534.0,1.0,1755619581.33,1.0,112.0,792.0,0.0,0.0,2.0,2.0,-2.0,18.8,-1.0,1.0,18.05,4257693801.0,6.0,23.0,-1.0,34.68,0.0,1.0,38.36,0.0,0.0,25.36,1,1,,,,,,,
P63,1,63,,0.0,779953.0,1.0,1755619626.69,1.0,111.0,836.0,0.0,0.0,1.0,1.0,0.0,21.73,0.0,1.0,11.42,4365871209.0,2.0,16.0,1.0,13.7,2.0,1.0,19.45,0.0,1.0,9.38,1,1,,,,,,,
P64,1,64,,0.0,448258.0,1.0,1755619710.84,1.0,121.0,817.0,0.0,0.0,1.0,1.0,-1.0,14.93,-1.0,1.0,12.63,5430671298.0,0.0,15.0,0.0,27.87,0.0,0.0,30.41,-2.0,0.0,11.9,1,1,,,,,,,
P65,1,65,,0.0,573895.0,1.0,1755619750.85,1.0,133.0,760.0,0.0,0.0,3.0,3.0,-2.0,140.26,-1.0,,,,,,,,,,,,,,1,1,,,,,,,
P66,1,66,,0.0,648193.0,1.0,1755619855.58,1.0,212.0,357.0,0.0,0.0,2.0,2.0,-2.0,25.95,-1.0,1.0,83.52,3250476189.0,6.0,26.0,1.0,116.09,3.0,1.0,319.9,0.0,0.0,114.21,1,1,,,,,,,
P67,1,67,,0.0,482175.0,1.0,1755619926.33,1.0,231.0,750.0,0.0,0.0,1.0,1.0,-1.0,30.29,-1.0,1.0,22.39,4235017869.0,5.0,11.0,-2.0,23.72,0.0,1.0,75.83,-1.0,0.0,14.42,1,1,,,,,,,
P68,1,68,,0.0,857712.0,1.0,1755619953.22,1.0,131.0,588.0,0.0,0.0,1.0,1.0,2.0,39.05,1.0,1.0,39.45,4153728906.0,9.0,16.0,1.0,50.32,1.0,1.0,184.33,-2.0,1.0,22.26,1,1,,,,,,,
P69,1,69,,0.0,960644.0,1.0,1755620001.79,1.0,124.0,851.0,0.0,0.0,4.0,4.0,1.0,4.83,1.0,1.0,5.64,2143685709.0,1.0,41.0,-2.0,26.65,3.0,0.0,14.95,-1.0,0.0,21.46,1,1,,,,,,,
P70,1,70,,0.0,494031.0,1.0,1755620061.89,1.0,224.0,826.0,0.0,0.0,4.0,4.0,-1.0,10.2,-1.0,1.0,11.31,1203546798.0,0.0,41.0,-2.0,23.01,3.0,1.0,30.4,-1.0,1.0,48.26,1,1,,,,,,,
P71,1,71,,0.0,686198.0,1.0,1755620070.58,1.0,132.0,792.0,0.0,0.0,2.0,22.0,0.0,28.5,0.0,1.0,11.16,4527109836.0,7.0,28.0,2.0,26.03,2.0,1.0,43.74,1.0,1.0,46.76,1,1,,,,,,,
P72,1,72,,0.0,811880.0,1.0,1755620092.03,1.0,214.0,547.0,0.0,0.0,4.0,4.0,-2.0,15.62,-1.0,1.0,25.88,1502348967.0,0.0,41.0,-2.0,62.22,2.0,1.0,251.55,-2.0,1.0,104.98,1,1,,,,,,,
P73,1,73,,0.0,885551.0,1.0,1755620138.77,1.0,224.0,357.0,0.0,0.0,4.0,4.0,-1.0,38.82,-1.0,1.0,43.31,1203546798.0,0.0,41.0,-2.0,72.5,0.0,1.0,390.75,-2.0,0.0,34.49,1,1,,,,,,,
P74,1,74,,0.0,172201.0,1.0,1755620235.39,1.0,111.0,655.0,0.0,0.0,1.0,1.0,-2.0,54.58,-1.0,1.0,30.06,4365871290.0,2.0,16.0,1.0,37.95,0.0,1.0,124.15,-2.0,1.0,92.21,1,1,,,,,,,
P75,1,75,,0.0,787830.0,1.0,1755620276.74,1.0,131.0,823.0,0.0,0.0,1.0,1.0,-2.0,10.44,-1.0,1.0,12.46,4153728960.0,9.0,10.0,-2.0,20.19,3.0,1.0,35.8,-1.0,0.0,10.93,1,1,,,,,,,
P76,1,76,,0.0,678560.0,1.0,1755620304.03,1.0,231.0,763.0,0.0,0.0,1.0,1.0,0.0,26.93,0.0,1.0,15.87,4851329706.0,0.0,14.0,0.0,44.93,3.0,0.0,52.71,0.0,0.0,9.62,1,1,,,,,,,
P77,1,77,,0.0,719260.0,1.0,1755620391.22,1.0,222.0,754.0,0.0,0.0,2.0,2.0,0.0,19.51,0.0,1.0,22.48,9142758036.0,2.0,24.0,0.0,33.87,1.0,1.0,72.25,0.0,0.0,15.27,1,1,,,,,,,
P78,1,78,,0.0,968523.0,1.0,1755620621.27,1.0,112.0,780.0,0.0,0.0,2.0,2.0,-1.0,21.35,-1.0,1.0,16.05,4257639801.0,1.0,22.0,-1.0,50.86,3.0,0.0,33.96,-1.0,0.0,9.85,1,1,,,,,,,
P79,1,79,,0.0,944112.0,1.0,1755620629.68,1.0,233.0,660.0,0.0,0.0,3.0,3.0,-1.0,54.35,-1.0,1.0,48.36,541283679.0,0.0,30.0,-2.0,44.21,3.0,0.0,94.43,0.0,0.0,31.11,1,1,,,,,,,
P80,1,80,,0.0,656442.0,1.0,1755620629.86,1.0,134.0,758.0,0.0,0.0,4.0,4.0,-2.0,15.17,-1.0,1.0,20.92,1452078369.0,6.0,48.0,2.0,29.91,3.0,1.0,78.64,2.0,1.0,32.54,1,1,,,,,,,
P81,1,81,,0.0,690757.0,1.0,1755620669.68,1.0,222.0,652.0,0.0,0.0,2.0,2.0,-2.0,29.3,-1.0,1.0,14.08,2134058967.0,0.0,22.0,-1.0,39.28,3.0,1.0,166.74,-2.0,0.0,9.56,1,1,,,,,,,
P82,1,82,,0.0,447245.0,1.0,1755620776.91,1.0,131.0,781.0,0.0,0.0,1.0,1.0,-2.0,29.44,-1.0,1.0,22.73,4153728096.0,4.0,17.0,1.0,13.06,3.0,0.0,55.01,1.0,0.0,8.48,1,1,,,,,,,
P83,1,83,,0.0,112508.0,1.0,1755620956.78,1.0,132.0,873.0,0.0,0.0,2.0,2.0,-2.0,6.38,-1.0,1.0,5.32,4527108936.0,1.0,25.0,0.0,2.32,3.0,1.0,14.83,1.0,0.0,4.06,1,1,,,,,,,
P84,1,84,,0.0,495931.0,1.0,1755621022.85,1.0,212.0,644.0,0.0,0.0,2.0,2.0,-1.0,44.93,-1.0,1.0,79.98,3250476189.0,3.0,20.0,-2.0,87.62,3.0,0.0,46.2,1.0,0.0,24.89,1,1,,,,,,,
P85,1,85,,0.0,708114.0,1.0,1755621119.37,1.0,224.0,721.0,0.0,0.0,4.0,4444.0,-2.0,25.69,-1.0,1.0,20.0,1203546798.0,1.0,42.0,-1.0,44.24,0.0,1.0,90.05,-1.0,1.0,36.43,1,1,,,,,,,
P86,1,86,,0.0,615442.0,1.0,1755621215.8,1.0,133.0,748.0,0.0,0.0,3.0,3.0,-2.0,21.34,-1.0,1.0,23.23,4035927681.0,1.0,30.0,-2.0,50.99,3.0,0.0,58.82,0.0,0.0,13.62,1,1,,,,,,,
P87,1,87,,0.0,260107.0,1.0,1755621232.38,1.0,122.0,728.0,0.0,0.0,2.0,2.0,1.0,28.76,1.0,1.0,18.98,5241980736.0,5.0,28.0,2.0,46.79,0.0,1.0,80.82,1.0,0.0,11.48,1,1,,,,,,,
P88,1,88,,0.0,141235.0,1.0,1755621235.55,1.0,111.0,836.0,0.0,0.0,1.0,1.0,-2.0,18.73,-1.0,1.0,10.59,4365817290.0,0.0,14.0,0.0,17.97,2.0,1.0,19.24,-1.0,1.0,22.51,1,1,,,,,,,
P89,1,89,,0.0,962046.0,1.0,1755621251.07,1.0,223.0,346.0,0.0,0.0,3.0,3.0,-1.0,41.99,-1.0,1.0,55.16,423569817.0,1.0,34.0,0.0,111.39,3.0,1.0,347.39,0.0,0.0,9.1,1,1,,,,,,,
P90,1,90,,0.0,334393.0,1.0,1755621253.94,1.0,222.0,729.0,0.0,0.0,2.0,2.0,-2.0,51.61,-1.0,1.0,23.5,2134058967.0,0.0,22.0,-1.0,34.28,2.0,0.0,63.98,-2.0,0.0,71.6,1,1,,,,,,,
P91,1,91,,0.0,284197.0,1.0,1755621314.01,1.0,224.0,742.0,0.0,0.0,4.0,4.0,-2.0,17.72,-1.0,1.0,47.59,1203546798.0,1.0,42.0,-1.0,42.19,3.0,1.0,52.2,-1.0,0.0,6.05,1,1,,,,,,,
P92,1,92,,0.0,492365.0,1.0,1755621401.45,1.0,134.0,499.0,0.0,0.0,4.0,4.0,-2.0,32.92,-1.0,1.0,26.83,1452078369.0,3.0,42.0,-1.0,57.37,0.0,1.0,286.74,-1.0,0.0,17.02,1,1,,,,,,,
P93,1,93,,0.0,343667.0,1.0,1755621478.12,1.0,133.0,267.0,0.0,0.0,3.0,3.0,-2.0,41.27,-1.0,1.0,39.59,4035927681.0,0.0,34.0,0.0,76.92,2.0,1.0,477.67,0.0,0.0,25.84,1,1,,,,,,,
P94,1,94,,0.0,133224.0,1.0,1755621561.94,1.0,111.0,747.0,0.0,0.0,1.0,1.0,0.0,24.33,0.0,1.0,10.42,4365817290.0,7.0,12.0,-1.0,60.95,0.0,1.0,59.82,0.0,0.0,7.57,1,1,,,,,,,
P95,1,95,,0.0,228730.0,1.0,1755621563.73,1.0,132.0,854.0,0.0,0.0,2.0,2.0,1.0,9.88,1.0,1.0,4.6,4527108936.0,4.0,21.0,-2.0,17.94,2.0,1.0,16.87,-2.0,1.0,47.4,1,1,,,,,,,
P96,1,96,,0.0,681081.0,1.0,1755621616.24,1.0,232.0,753.0,0.0,0.0,2.0,2.0,2.0,20.08,1.0,1.0,12.56,7596084213.0,5.0,28.0,2.0,41.82,0.0,1.0,74.94,0.0,1.0,31.56,1,1,,,,,,,
P97,1,97,,0.0,534977.0,1.0,1755621712.74,1.0,224.0,823.0,0.0,0.0,4.0,4.0,0.0,26.81,0.0,1.0,13.77,4019326587.0,6.0,46.0,1.0,10.36,0.0,1.0,28.74,2.0,1.0,10.74,1,1,,,,,,,
P98,1,98,,0.0,195825.0,1.0,1755621809.4,1.0,231.0,279.0,0.0,0.0,1.0,1.0,-1.0,66.4,-1.0,1.0,17.0,4235017869.0,1.0,12.0,-1.0,75.24,0.0,1.0,463.27,0.0,1.0,42.35,1,1,,,,,,,
P99,1,99,,0.0,331384.0,1.0,1755621835.93,1.0,224.0,723.0,0.0,0.0,4.0,4.0,2.0,17.45,1.0,1.0,27.69,8671549203.0,0.0,48.0,2.0,37.8,0.0,1.0,96.75,1.0,1.0,39.91,1,1,,,,,,,
