seed,partition,num_news,popularity
122,0,3,0.03
122,0,4,0.07
122,0,5,0.09
122,0,6,0.04
122,0,7,0.05
122,0,8,0.06
122,0,9,0.02
122,1,0,0.01
122,1,1,0.08
122,1,2,0.0
122,1,3,0.03
122,1,4,0.07
122,1,5,0.09
122,1,6,0.04
122,1,7,0.05
122,1,8,0.06
122,1,9,0.02
123,-1,0,0.01
123,-1,1,0.08
123,-1,2,0.07
123,-1,3,0.03
123,-1,4,0.05
123,-1,5,0.0
123,-1,6,0.09
123,-1,7,0.06
123,-1,8,0.04
123,-1,9,0.02
123,0,0,0.01
123,0,1,0.08
123,0,2,0.07
123,0,3,0.03
123,0,4,0.05
123,0,5,0.0
123,0,6,0.09
123,0,7,0.06
123,0,8,0.04
123,0,9,0.02
123,1,0,0.01
123,1,1,0.08
123,1,2,0.07
123,1,3,0.03
123,1,4,0.05
123,1,5,0.0
123,1,6,0.09
123,1,7,0.06
123,1,8,0.04
123,1,9,0.02
124,-1,0,0.04
124,-1,1,0.06
124,-1,2,0.08
124,-1,3,0.03
124,-1,4,0.05
124,-1,5,0.07
124,-1,6,0.0
124,-1,7,0.01
124,-1,8,0.02
124,-1,9,0.09
124,0,0,0.04
124,0,1,0.06
124,0,2,0.08
124,0,3,0.03
124,0,4,0.05
124,0,5,0.07
124,0,6,0.0
124,0,7,0.01
124,0,8,0.02
124,0,9,0.09
124,1,0,0.04
124,1,1,0.06
124,1,2,0.08
124,1,3,0.03
124,1,4,0.05
124,1,5,0.07
124,1,6,0.0
124,1,7,0.01
124,1,8,0.02
124,1,9,0.09
131,-1,0,0.01
131,-1,1,0.06
131,-1,2,0.04
131,-1,3,0.09
131,-1,4,0.0
131,-1,5,0.03
131,-1,6,0.02
131,-1,7,0.08
131,-1,8,0.07
131,-1,9,0.05
131,0,0,0.01
131,0,1,0.06
131,0,2,0.04
131,0,3,0.09
131,0,4,0.0
131,0,5,0.03
131,0,6,0.02
131,0,7,0.08
131,0,8,0.07
131,0,9,0.05
131,1,0,0.01
131,1,1,0.06
131,1,2,0.04
131,1,3,0.09
131,1,4,0.0
131,1,5,0.03
131,1,6,0.02
131,1,7,0.08
131,1,8,0.07
131,1,9,0.05
132,-1,0,0.0
132,-1,1,0.06
132,-1,2,0.07
132,-1,3,0.02
132,-1,4,0.01
132,-1,5,0.09
132,-1,6,0.03
132,-1,7,0.08
132,-1,8,0.05
132,-1,9,0.04
132,0,0,0.0
132,0,1,0.06
132,0,2,0.07
132,0,3,0.02
132,0,4,0.01
132,0,5,0.09
132,0,6,0.03
132,0,7,0.08
132,0,8,0.05
132,0,9,0.04
132,1,0,0.0
132,1,1,0.06
132,1,2,0.07
132,1,3,0.02
132,1,4,0.01
132,1,5,0.09
132,1,6,0.03
132,1,7,0.08
132,1,8,0.05
132,1,9,0.04
133,-1,0,0.09
133,-1,1,0.01
133,-1,2,0.0
133,-1,3,0.08
133,-1,4,0.05
133,-1,5,0.02
133,-1,6,0.03
133,-1,7,0.04
133,-1,8,0.07
133,-1,9,0.06
133,0,0,0.09
133,0,1,0.01
133,0,2,0.0
133,0,3,0.08
133,0,4,0.05
133,0,5,0.02
133,0,6,0.03
133,0,7,0.04
133,0,8,0.07
133,0,9,0.06
133,1,0,0.09
133,1,1,0.01
133,1,2,0.0
133,1,3,0.08
133,1,4,0.05
133,1,5,0.02
133,1,6,0.03
133,1,7,0.04
133,1,8,0.07
133,1,9,0.06
134,-1,0,0.08
134,-1,1,0.0
134,-1,2,0.09
134,-1,3,0.04
134,-1,4,0.01
134,-1,5,0.03
134,-1,6,0.02
134,-1,7,0.07
134,-1,8,0.06
134,-1,9,0.05
134,0,0,0.08
134,0,1,0.0
134,0,2,0.09
134,0,3,0.04
134,0,4,0.01
134,0,5,0.03
134,0,6,0.02
134,0,7,0.07
134,0,8,0.06
134,0,9,0.05
134,1,0,0.08
134,1,1,0.0
134,1,2,0.09
134,1,3,0.04
134,1,4,0.01
134,1,5,0.03
134,1,6,0.02
134,1,7,0.07
134,1,8,0.06
134,1,9,0.05
211,-1,0,0.05
211,-1,1,0.06
211,-1,2,0.07
211,-1,3,0.0
211,-1,4,0.09
211,-1,5,0.03
211,-1,6,0.08
211,-1,7,0.01
211,-1,8,0.04
211,-1,9,0.02
211,0,0,0.05
211,0,1,0.06
211,0,2,0.07
211,0,3,0.0
211,0,4,0.09
211,0,5,0.03
211,0,6,0.08
211,0,7,0.01
211,0,8,0.04
211,0,9,0.02
211,1,0,0.05
211,1,1,0.06
211,1,2,0.07
211,1,3,0.0
211,1,4,0.09
211,1,5,0.03
211,1,6,0.08
211,1,7,0.01
211,1,8,0.04
211,1,9,0.02
212,-1,0,0.03
212,-1,1,0.08
212,-1,2,0.01
212,-1,3,0.02
212,-1,4,0.09
212,-1,5,0.0
212,-1,6,0.07
212,-1,7,0.04
212,-1,8,0.05
212,-1,9,0.06
212,0,0,0.03
212,0,1,0.08
212,0,2,0.01
212,0,3,0.02
212,0,4,0.09
212,0,5,0.0
212,0,6,0.07
212,0,7,0.04
212,0,8,0.05
212,0,9,0.06
212,1,0,0.03
212,1,1,0.08
212,1,2,0.01
212,1,3,0.02
212,1,4,0.09
212,1,5,0.0
212,1,6,0.07
212,1,7,0.04
212,1,8,0.05
212,1,9,0.06
213,-1,0,0.05
213,-1,1,0.04
213,-1,2,0.02
213,-1,3,0.0
213,-1,4,0.08
213,-1,5,0.01
213,-1,6,0.03
213,-1,7,0.06
213,-1,8,0.09
213,-1,9,0.07
213,0,0,0.05
213,0,1,0.04
213,0,2,0.02
213,0,3,0.0
213,0,4,0.08
213,0,5,0.01
213,0,6,0.03
213,0,7,0.06
213,0,8,0.09
213,0,9,0.07
213,1,0,0.05
213,1,1,0.04
213,1,2,0.02
213,1,3,0.0
213,1,4,0.08
213,1,5,0.01
213,1,6,0.03
213,1,7,0.06
213,1,8,0.09
213,1,9,0.07
214,-1,0,0.0
214,-1,1,0.03
214,-1,2,0.04
214,-1,3,0.05
214,-1,4,0.09
214,-1,5,0.01
214,-1,6,0.08
214,-1,7,0.07
214,-1,8,0.06
214,-1,9,0.02
214,0,0,0.0
214,0,1,0.03
214,0,2,0.04
214,0,3,0.05
214,0,4,0.09
214,0,5,0.01
214,0,6,0.08
214,0,7,0.07
214,0,8,0.06
214,0,9,0.02
214,1,0,0.0
214,1,1,0.03
214,1,2,0.04
214,1,3,0.05
214,1,4,0.09
214,1,5,0.01
214,1,6,0.08
214,1,7,0.07
214,1,8,0.06
214,1,9,0.02
221,-1,0,0.05
221,-1,1,0.01
221,-1,2,0.04
221,-1,3,0.02
221,-1,4,0.06
221,-1,5,0.08
221,-1,6,0.03
221,-1,7,0.09
221,-1,8,0.07
221,-1,9,0.0
221,0,0,0.05
221,0,1,0.01
221,0,2,0.04
221,0,3,0.02
221,0,4,0.06
221,0,5,0.08
221,0,6,0.03
221,0,7,0.09
221,0,8,0.07
221,0,9,0.0
221,1,0,0.05
221,1,1,0.01
221,1,2,0.04
221,1,3,0.02
221,1,4,0.06
221,1,5,0.08
221,1,6,0.03
221,1,7,0.09
221,1,8,0.07
221,1,9,0.0
222,-1,0,0.0
222,-1,1,0.06
222,-1,2,0.03
222,-1,3,0.08
222,-1,4,0.05
222,-1,5,0.01
222,-1,6,0.04
222,-1,7,0.09
222,-1,8,0.07
222,-1,9,0.02
222,0,0,0.0
222,0,1,0.06
222,0,2,0.03
222,0,3,0.08
222,0,4,0.05
222,0,5,0.01
222,0,6,0.04
222,0,7,0.09
222,0,8,0.07
222,0,9,0.02
222,1,0,0.0
222,1,1,0.06
222,1,2,0.03
222,1,3,0.08
222,1,4,0.05
222,1,5,0.01
222,1,6,0.04
222,1,7,0.09
222,1,8,0.07
222,1,9,0.02
223,-1,0,0.04
223,-1,1,0.08
223,-1,2,0.03
223,-1,3,0.07
223,-1,4,0.06
223,-1,5,0.02
223,-1,6,0.05
223,-1,7,0.01
223,-1,8,0.09
223,-1,9,0.0
223,0,0,0.04
223,0,1,0.08
223,0,2,0.03
223,0,3,0.07
223,0,4,0.06
223,0,5,0.02
223,0,6,0.05
223,0,7,0.01
223,0,8,0.09
223,0,9,0.0
223,1,0,0.04
223,1,1,0.08
223,1,2,0.03
223,1,3,0.07
223,1,4,0.06
223,1,5,0.02
223,1,6,0.05
223,1,7,0.01
223,1,8,0.09
223,1,9,0.0
224,-1,0,0.06
224,-1,1,0.03
224,-1,2,0.04
224,-1,3,0.02
224,-1,4,0.08
224,-1,5,0.0
224,-1,6,0.05
224,-1,7,0.09
224,-1,8,0.01
224,-1,9,0.07
224,0,0,0.06
224,0,1,0.03
224,0,2,0.04
224,0,3,0.02
224,0,4,0.08
224,0,5,0.0
224,0,6,0.05
224,0,7,0.09
224,0,8,0.01
224,0,9,0.07
224,1,0,0.06
224,1,1,0.03
224,1,2,0.04
224,1,3,0.02
224,1,4,0.08
224,1,5,0.0
224,1,6,0.05
224,1,7,0.09
224,1,8,0.01
224,1,9,0.07
231,-1,0,0.01
231,-1,1,0.03
231,-1,2,0.09
231,-1,3,0.0
231,-1,4,0.08
231,-1,5,0.06
231,-1,6,0.02
231,-1,7,0.04
231,-1,8,0.05
231,-1,9,0.07
231,0,0,0.01
231,0,1,0.03
231,0,2,0.09
231,0,3,0.0
231,0,4,0.08
231,0,5,0.06
231,0,6,0.02
231,0,7,0.04
231,0,8,0.05
231,0,9,0.07
231,1,0,0.01
231,1,1,0.03
231,1,2,0.09
231,1,3,0.0
231,1,4,0.08
231,1,5,0.06
231,1,6,0.02
231,1,7,0.04
231,1,8,0.05
231,1,9,0.07
232,-1,0,0.06
232,-1,1,0.02
232,-1,2,0.04
232,-1,3,0.0
232,-1,4,0.09
232,-1,5,0.01
232,-1,6,0.07
232,-1,7,0.08
232,-1,8,0.03
232,-1,9,0.05
232,0,0,0.06
232,0,1,0.02
232,0,2,0.04
232,0,3,0.0
232,0,4,0.09
232,0,5,0.01
232,0,6,0.07
232,0,7,0.08
232,0,8,0.03
232,0,9,0.05
232,1,0,0.06
232,1,1,0.02
232,1,2,0.04
232,1,3,0.0
232,1,4,0.09
232,1,5,0.01
232,1,6,0.07
232,1,7,0.08
232,1,8,0.03
232,1,9,0.05
233,-1,0,0.01
233,-1,1,0.07
233,-1,2,0.04
233,-1,3,0.02
233,-1,4,0.08
233,-1,5,0.09
233,-1,6,0.06
233,-1,7,0.0
233,-1,8,0.05
233,-1,9,0.03
233,0,0,0.01
233,0,1,0.07
233,0,2,0.04
233,0,3,0.02
233,0,4,0.08
233,0,5,0.09
233,0,6,0.06
233,0,7,0.0
233,0,8,0.05
233,0,9,0.03
233,1,0,0.01
233,1,1,0.07
233,1,2,0.04
233,1,3,0.02
233,1,4,0.08
233,1,5,0.09
233,1,6,0.06
233,1,7,0.0
233,1,8,0.05
233,1,9,0.03
234,-1,0,0.02
234,-1,1,0.07
234,-1,2,0.04
234,-1,3,0.09
234,-1,4,0.01
234,-1,5,0.05
234,-1,6,0.0
234,-1,7,0.08
234,-1,8,0.06
234,-1,9,0.03
234,0,0,0.02
234,0,1,0.07
234,0,2,0.04
234,0,3,0.09
234,0,4,0.01
234,0,5,0.05
234,0,6,0.0
234,0,7,0.08
234,0,8,0.06
234,0,9,0.03
234,1,0,0.02
234,1,1,0.07
234,1,2,0.04
234,1,3,0.09
234,1,4,0.01
234,1,5,0.05
234,1,6,0.0
234,1,7,0.08
234,1,8,0.06
234,1,9,0.03
